Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2021,202102,February 2021,4,0,1,Imports,124,Canada,,490,"Other Asia, nes",,6117,"Clothing accessories; made up, knitted or crocheted, knitted or crocheted parts of garments or of clothing accessories",0,,,,9285,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,818,Egypt,,18,Cocoa and cocoa preparations,0,,,0,116604,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,826,United Kingdom,,18,Cocoa and cocoa preparations,0,,,0,1495175,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,834,United Rep. of Tanzania,,18,Cocoa and cocoa preparations,0,,,0,2248,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,702,Singapore,,18,Cocoa and cocoa preparations,0,,,0,47840,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,704,Viet Nam,,18,Cocoa and cocoa preparations,0,,,0,3526,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,710,South Africa,,18,Cocoa and cocoa preparations,0,,,0,5462,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,724,Spain,,18,Cocoa and cocoa preparations,0,,,0,311425,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,752,Sweden,,18,Cocoa and cocoa preparations,0,,,0,11786,0
HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,862,Venezuela,,18,Cocoa and cocoa preparations,0,,,0,33715,0
HS,2021,202102,February 2021,4,0,2,Exports,124,Canada,,44,Bahamas,,2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",0,,,16,39,0
HS,2021,202102,February 2021,4,0,2,Exports,124,Canada,,608,Philippines,,2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",0,,,1358,8831,0
HS,2021,202102,February 2021,4,0,2,Exports,124,Canada,,818,Egypt,,2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",0,,,6051,15473,0
HS,2021,202102,February 2021,4,0,2,Exports,124,Canada,,826,United Kingdom,,2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",0,,,13339,40093,0
